CODE,ADDITIVE_CODE,ONLY_CODE,HEALTH,HALAL,CLASS
E308*,E308,308,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E309*,E309,309,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E310,E310,310,RED,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E311*,E311,311,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E312*,E312,312,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E317,E317,317,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E318,E318,318,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E319,E319,319,RED,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E320*,E320,320,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E321*,E321,321,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E322*,E322,322,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E325*,E325,325,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E326*,E326,326,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E327*,E327,327,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E328*,E328,328,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E329*,E329,329,RED,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E330,E330,330,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E331,E331,331,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E332,E332,332,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E333,E333,333,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E334,E334,334,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E335,E335,335,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E336,E336,336,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E337,E337,337,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E338,E338,338,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E339,E339,339,RED,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E340,E340,340,RED,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E341*,E341,341,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E343,E343,343,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E350,E350,350,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E351,E351,351,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E352,E352,352,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E353,E353,353,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E354,E354,354,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E355,E355,355,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E357,E357,357,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E363,E363,363,RED,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E365,E365,365,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E366,E366,366,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E367,E367,367,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E370,E370,370,RED,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E375,E375,375,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E380,E380,380,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E381,E381,381,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E385,E385,385,RED,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E400,E400,400,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E401,E401,401,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E402,E402,402,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E403,E403,403,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E404,E404,404,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E405,E405,405,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E406,E406,406,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E407*,E407,407,RED,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E410,E410,410,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E412,E412,412,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E413,E413,413,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E414,E414,414,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E415,E415,415,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E416,E416,416,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E417,E417,417,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E420,E420,420,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E421,E421,421,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E422*,E422,422,RED,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E430*,E430,430,RED,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E431*,E431,431,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E432*,E432,432,RED,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E433*,E433,433,RED,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E434*,E434,434,RED,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E435*,E435,435,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E436*,E436,436,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E440(a),E440(a),440,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E440(b),E440(b),440,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E441**,E441,441,RED,VITAL_2,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E442*,E442,442,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E450,E450,450,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E460,E460,460,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E461,E461,461,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E463,E463,463,RED,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E464,E464,464,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E465,E465,465,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E466,E466,466,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E469,E469,469,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E470*,E470,470,RED,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E471*,E471,471,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E472*,E472,472,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E473*,E473,473,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E474*,E474,474,RED,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E475*,E475,475,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E476*,E476,476,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E477*,E477,477,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E478*,E478,478,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E479(b)*,E479(b),479,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E480,E480,480,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
