CODE,ADDITIVE_CODE,ONLY_CODE,HEALTH,HALAL,CLASS
E322*,E322,322,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E422*,E422,422,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E142*,E142,142,BLACK,VITAL_1,RENKLENDIRICILER
E224,E224,224,BLACK,NORMAL,KORUYUCULAR
E325*,E325,325,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E430*,E430,430,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E150,E150,150,BLACK,NORMAL,RENKLENDIRICILER
E225,E225,225,BLACK,NORMAL,KORUYUCULAR
E326*,E326,326,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E431*,E431,431,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E151,E151,151,BLACK,NORMAL,RENKLENDIRICILER
E226,E226,226,BLACK,NORMAL,KORUYUCULAR
E327*,E327,327,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E432*,E432,432,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E153*,E153,153,BLACK,VITAL_1,RENKLENDIRICILER
E227,E227,227,BLACK,NORMAL,KORUYUCULAR
E328*,E328,328,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E433*,E433,433,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E154*,E154,154,BLACK,VITAL_1,RENKLENDIRICILER
E228,E228,228,BLACK,NORMAL,KORUYUCULAR
E329*,E329,329,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E434*,E434,434,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E155*,E155,155,BLACK,VITAL_1,RENKLENDIRICILER
E230*,E230,230,BLACK,VITAL_1,KORUYUCULAR
E330,E330,330,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E435*,E435,435,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E160(a)*,E160(a),160,BLACK,VITAL_1,RENKLENDIRICILER
E231*,E231,231,BLACK,VITAL_1,KORUYUCULAR
E331,E331,331,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E436*,E436,436,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E160(b)*,E160(b),160,BLACK,VITAL_1,RENKLENDIRICILER
E232*,E232,232,BLACK,VITAL_1,KORUYUCULAR
E332,E332,332,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E440(a),E440(a),440,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E160(c)*,E160(c),160,BLACK,VITAL_1,RENKLENDIRICILER
E233*,E233,233,BLACK,VITAL_1,KORUYUCULAR
E333,E333,333,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E440(b),E440(b),440,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E160(d)*,E160(d),160,BLACK,VITAL_1,RENKLENDIRICILER
E234*,E234,234,BLACK,VITAL_1,KORUYUCULAR
E334,E334,334,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E441**,E441,441,BLACK,VITAL_2,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E160(e)*,E160(e),160,BLACK,VITAL_1,RENKLENDIRICILER
E235,E235,235,BLACK,NORMAL,KORUYUCULAR
E335,E335,335,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E442*,E442,442,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E160(f)*,E160(f),160,BLACK,VITAL_1,RENKLENDIRICILER
E236,E236,236,BLACK,NORMAL,KORUYUCULAR
E336,E336,336,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E450,E450,450,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E161*,E161,161,BLACK,VITAL_1,RENKLENDIRICILER
E237,E237,237,BLACK,NORMAL,KORUYUCULAR
E337,E337,337,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E460,E460,460,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E162*,E162,162,BLACK,VITAL_1,RENKLENDIRICILER
E238,E238,238,BLACK,NORMAL,KORUYUCULAR
E338,E338,338,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E461,E461,461,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E163*,E163,163,BLACK,VITAL_1,RENKLENDIRICILER
E239,E239,239,BLACK,NORMAL,KORUYUCULAR
E339,E339,339,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E463,E463,463,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E170*,E170,170,BLACK,VITAL_1,RENKLENDIRICILER
E249*,E249,249,BLACK,VITAL_1,KORUYUCULAR
E340,E340,340,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E464,E464,464,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E171,E171,171,BLACK,NORMAL,RENKLENDIRICILER
E250*,E250,250,BLACK,VITAL_1,KORUYUCULAR
E341*,E341,341,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E465,E465,465,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E172,E172,172,BLACK,NORMAL,RENKLENDIRICILER
E251*,E251,251,BLACK,VITAL_1,KORUYUCULAR
E343,E343,343,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E466,E466,466,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E173,E173,173,BLACK,NORMAL,RENKLENDIRICILER
E252*,E252,252,BLACK,VITAL_1,KORUYUCULAR
E350,E350,350,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E469,E469,469,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E174,E174,174,BLACK,NORMAL,RENKLENDIRICILER
E260,E260,260,BLACK,NORMAL,KORUYUCULAR
E351,E351,351,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E470*,E470,470,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E175,E175,175,BLACK,NORMAL,RENKLENDIRICILER
E261,E261,261,BLACK,NORMAL,KORUYUCULAR
E352,E352,352,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E471*,E471,471,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E180*,E180,180,BLACK,VITAL_1,RENKLENDIRICILER
E262,E262,262,BLACK,NORMAL,KORUYUCULAR
E353,E353,353,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E472*,E472,472,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E181,E181,181,BLACK,NORMAL,RENKLENDIRICILER
E263,E263,263,BLACK,NORMAL,KORUYUCULAR
E354,E354,354,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E473*,E473,473,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E264,E264,264,BLACK,NORMAL,KORUYUCULAR
E355,E355,355,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E474*,E474,474,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E270*,E270,270,BLACK,VITAL_1,KORUYUCULAR
E357,E357,357,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E475*,E475,475,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E280,E280,280,BLACK,NORMAL,KORUYUCULAR
E363,E363,363,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E476*,E476,476,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E281,E281,281,BLACK,NORMAL,KORUYUCULAR
E365,E365,365,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E477*,E477,477,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E282,E282,282,BLACK,NORMAL,KORUYUCULAR
E366,E366,366,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E478*,E478,478,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E283,E283,283,BLACK,NORMAL,KORUYUCULAR
E367,E367,367,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E479(b)*,E479(b),479,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E290,E290,290,BLACK,NORMAL,KORUYUCULAR
